5letter code	kingdom/super group	clade/phylum	supergroup2	order	family	scientific name	synonym used for letter code	taxID from NCBI	data source	genome version	Pubmed ID paper	#proteins	# organellar proteins	# mitochondrium proteins 	# plastid proteins	# plasmid proteins	isoforms available	number of isoforms	date added to database	date updated/checked	URL source	URL working?	non-URL source	publicly available	source mitochondrial sequences	mt-URL working?	source of plastid sequences	pt-URL working?	notes	numer of plasmids	plasmid sources working?	plasmid source 01	plasmid source 02	plasmid source 03	plasmid source 04	plasmid source 05	plasmid source 06
DIACA	Archaeplastida	eudicots	stem rosids	Caryophyllales	Caryophyllaceae	Dianthus caryophyllus	-	3570	genome	?	24344172	43491	0	0	0	0	no	0	21/11/2017	29/05/2020	ftp://ftp.kazusa.or.jp/pub/carnation/Gene_set/	yes	File from link: DCA_r1.0_pep_woTE.faa.gz	yes													
DICOL	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Dichanthelium oligosanthes	-	888268	genome	2	27793170	26467	0	0	0	0	yes	1	23/11/2017	29/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/215/GCA_001633215.2_ASM163321v2/GCA_001633215.2_ASM163321v2_protein.faa.gz	yes	NCBI	yes													
DIMLO	Archaeplastida	eudicots	rosids	Sapindales	Sapindaceae	Dimocarpus longan	-	128017	genome	?	28368449	39282	0	0	0	0	no	0	24/11/2017	29/05/2020	http://gigadb.org/dataset/view/id/100276/File_page/3	yes		yes													
DIOMU	Archaeplastida	eudicots	stem rosids	Caryophyllales	Droseraceae	Dionaea muscipula		4362	genome			21135	0	0	0	0			20/07/2020		https://www.biozentrum.uni-wuerzburg.de/carnivorom/resources																
DIOAL	Archaeplastida	Liliopsida		Dioscoreales	Dioscoreaceae	Dioscorea alata		55571	genome			25189	0	0	0	0			25/05/2020		https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Dalata	yes															
DIODU	Archaeplastida	Liliopsida		Dioscoreales	Dioscoreaceae	Dioscorea dumetorum		167584	genome			35681	0	0	0	0			20/07/2020		https://pub.uni-bielefeld.de/record/2941469#fileDetails																
DIORO	Archaeplastida	Liliopsida	-	Dioscoreales	Dioscoreaceae	Dioscorea rotundata	-	55577	genome	?	28927400	19086	0	0	0	0	no	0	24/11/2017	29/05/2020	https://drive.google.com/drive/folders/0B54dLJoyUZ5SUDY5TzV2eGFWaWs	yes		yes													
DIOOL	Archaeplastida	eudicots	asterids	Ericales	Ebenaceae	Diospyros oleifera		227308	genome			30530	0	0	0	0			20/07/2020		http://gigadb.org/dataset/100687																
DISTR	Archaeplastida	eudicots	rosids	Rosales	Rhamnaceae	Discaria trinervis		262936	genome			32886	0	0	0	0			20/07/2020		http://gigadb.org/dataset/view/id/101048/File_page/2																
DORHY	Archaeplastida	eudicots	asterids	Lamiales	Gesneriaceae	Dorcoceras hygrometricum	-	472368	genome	1	25902549	47737	0	0	0	0	yes	41	16/11/2017	28/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/015/GCA_001598015.1_Boea_hygrometrica.v1/GCA_001598015.1_Boea_hygrometrica.v1_protein.faa.gz	yes	NCBI	yes													
DRYDR	Archaeplastida	eudicots	rosids	Rosales	Rosaceae	Dryas drummondii		48231	genome			25030	0	0	0	0			20/07/2020		http://gigadb.org/dataset/101047																
DUNSA	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	Dunaliella salina	-	3046	genome	1	-	16697	0	0	0	0	yes	2104	17/11/2017	29/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Dsalina	yes	Phytozome V12	no													
DURZI	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Durio zibethinus	-	66656	genome	1	28991254	44056	0	0	0	0	yes	18951	24/11/2017	29/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/303/985/GCF_002303985.1_Duzib1.0/GCF_002303985.1_Duzib1.0_protein.faa.gz	yes	NCBI	yes													
ECHCR	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Echinochloa crus-galli	-	90397	genome	6	29044108	108771	0	0	0	0	no	0	24/11/2017	29/05/2020	http://ibi.zju.edu.cn/RiceWeedomes/Echinochloa/	yes		yes													
EDADE	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales		Edaphochlamys debaryana		47281	genome			20450	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/Edade1/Edade1.download.html 																
ELAGU	Archaeplastida	Liliopsida	commelinids	Arecales	Arecaceae	Elaeis guineensis	-	51953	genome	?	23883927	30752	0	0	0	0	no	0	13/07/2016		0			yes													
ENACO	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Enallax costatus		113528	genome			19918	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/Enacos1/Enacos1.download.html 																
ENSVE	Archaeplastida	Liliopsida	commelinids	Zingiberales	Musaceae	Ensete ventricosum	-	4639	genome	?	http://www.mdpi.com/2073-4395/4/1/13 (not found in Pubmed)	42749	0	0	0	0	no	0	28/11/2017	29/05/2020	https://figshare.com/articles/Ensete_ventricosum_genome_sequence/894306	yes		yes													
ENTRAtr	Archaeplastida	Streptophyta ZCC grade	Zygnemophyceae	Zygnematales	Zygnemataceae	Entransia	-	130990	transcriptome	?	PLEASE CITE: Cooper, Endymion; Delwiche, Charles (2016): Green algal transcriptomes for phylogenetics and comparative genomics. figshare.https://dx.doi.org/10.6084/m9.figshare.1604782	153005	0	0	0	0	no	0	28/11/2017	29/05/2020	https://figshare.com/articles/Green_algal_transcriptomes_for_phylogenetics_and_comparative_genomics/1604782	yes	If link is not working google for what is given in column Paper ID	yes					proteins created by ourselves from transcripts, it is not clear which Entransia species it is								
ERACU	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Eragrostis curvula		38414	genome			55182	0	0	0	0			20/07/2020		https://www.ncbi.nlm.nih.gov/assembly/GCA_007726485.1																
ERANI	Archaeplastida	eudicots	commelinids	Poales	Poaceae	Eragrostis nindensis		1262659	genome			55008	0	0	0	0			20/07/2020		https://genomevolution.org/coge/SearchResults.pl?s=54689&p=genome																
ERATE	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Eragrostis tef	-	110835	genome	1	25007843	41136	0	0	0	0	yes	916	29/03/2015	26/05/2020	http://130.92.252.158/tef/version1/	yes		yes													
ERIBR	Archaeplastida	eudicots	asterids	Asterales	Asteraceae	Erigeron breviscapus	-	244311	genome	?	28431028	37504	0	0	0	0	no	0	24/11/2017	29/05/2020	http://gigadb.org/dataset/view/id/100290	yes		yes													
ERIJA	Archaeplastida	eudicots	rosids	Rosales	Rosaceae	Eriobotrya japonica		32224	genome			45743	0	0	0	0			20/07/2020		http://gigadb.org/dataset/100711																
EUCCA	Archaeplastida	eudicots	rosids	Myrtales	Myrtaceae	Eucalyptus camaldulensis	-	34316	genome	?	Hirakawa H, et al. (2011) Plant Biotechnology 28: 471-480. https://www.jstage.jst.go.jp/article/plantbiotechnology/28/5/28_11.1027b/_article	118501	0	0	0	0	no	0	16/11/2017	16/11/2017	ftp://ftp.kazusa.or.jp/pub/eucaly/	no		yes													
EUCGR	Archaeplastida	eudicots	rosids	Myrtales	Myrtaceae	Eucalyptus grandis	-	71139	genome	2	24919147	36349	74	0	74	0	.# KU	9931	15/01/2011	13/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/305/GCF_000612305.1_Egrandis1_0/GCF_000612305.1_Egrandis1_0_protein.faa.gz + https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Egrandis	yes	Phytozome V12	yes			http://www.ncbi.nlm.nih.gov/nuccore/NC_014570.1	yes									
EURFE	Archaeplastida	Magnoliopsida		Nymphaeales	Nymphaeaceae	Euryale ferox		4414	genome			40049	0	0	0	0			20/07/2020		https://genomevolution.org/CoGe/GenomeInfo.pl?gid=56574																
EUTSA	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Eutrema salsugineum	-	72664	genome	1	22778405, 23518688	26351	0	0	0	0	yes	2933	29/03/2015	13/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/725/GCF_000478725.1_Eutsalg1_0/GCF_000478725.1_Eutsalg1_0_protein.faa.gz + https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Esalsugineum	yes	NCBI	yes					same version								
FAGES	Archaeplastida	eudicots	stem rosids	Caryophyllales	Polygonaceae	Fagopyrum esculentum	-	3617	genome	1	27037832	286768	0	0	0	0	no	0	22/11/2017	29/05/2020	ftp://ftp.kazusa.or.jp/pub/buckwheat/	yes		yes													
FAGTA	Archaeplastida	eudicots	stem rosids	Caryophyllales	Polygonaceae	Fagopyrum tataricum	-	62330	genome	2	28866080	31848	0	0	0	0	yes	2311	24/11/2017	24/11/2017	http://www.mbkbase.org/Pinku1/	yes		yes					Had to create proteins using GFF								
FAGSY	Archaeplastida	eudicots	rosids	Fagales	Fagaceae	Fagus sylvatica		28930	genome			59378	224	0	0	224			20/07/2020		http://www.beechgenome.net/																
FAIAL	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Faidherbia albida		138055	genome	?	30535374	28979	0	0	0	0			18/05/2020		https://bioinformatics.psb.ugent.be/orcae/aocc/	yes		yes													
FICCA	Archaeplastida	eudicots	rosids	Rosales	Moraceae	Ficus carica		3494	genome			36138	0	0	0	0			20/07/2020		https://plantgarden.jp/ja/list/t3494/genome/t3494.G001																
FICER	Archaeplastida	eudicots	rosids	Rosales	Moraceae	Ficus erecta		66383	genome			93450	0	0	0	0			20/07/2020		https://plantgarden.jp/ja/list/t66383/genome/t66383.G001																
FLERO	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Flechtneria rotunda		269715	genome			16799	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/Flerot1/Flerot1.download.html																
FRANI	Archaeplastida	eudicots	rosids	Rosales	Rosaceae	Fragaria nilgerrensis		64941	genome			28780	0	0	0	0			20/07/2020		https://bigd.big.ac.cn/gwh/Assembly/944/show																
FRAVE	Archaeplastida	eudicots	rosids	Rosales	Rosaceae	Fragaria vesca	-	57918	genome			33538	0	0	0	0			13/01/2011	05/06/2020	https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Fvesca	yes	Phytozome V12				http://www.ncbi.nlm.nih.gov/nuccore/NC_015206.1	yes									
FRAAN	Archaeplastida	eudicots	rosids	Rosales	Rosaceae	Fragaria x ananassa		3747	genome			108087	0	0	0	0			21/07/2020		https://datadryad.org/stash/dataset/doi:10.5061/dryad.b2c58pc																
FRAEX	Archaeplastida	eudicots	asterids	Lamiales	Oleaceae	Fraxinus excelsior	-	38873	genome	4 - BATG-0.5	28024298	38949	0	0	0	0	yes	7003	24/11/2017	29/05/2020	http://www.ashgenome.org/transcriptomes	yes		yes													
FUNHY15tr	Archaeplastida	Bryopsida	Funariidae	Funariales	Funariaceae	Funaria hygrometrica	-	29583	transcriptome	?	-	128322	0	0	0	0	no	0	29/03/2015	05/06/2020			Trinityv2.06 assembly ERR272419, ERR272420, ERR272421, ERR272422, ERR272423, ERR272424	yes					m240lflr								
FUNHYGAMtr	Archaeplastida	Bryopsida	Funariidae	Funariales	Funariaceae	Funaria hygrometrica	-	29583	transcriptome	?	-	15336	0	0	0	0	no	0	29/03/2015	05/06/2020			Funaria_Gam_PTA0309.fas	yes					m240lflr								
FUNHYSPOtr	Archaeplastida	Bryopsida	Funariidae	Funariales	Funariaceae	Funaria hygrometrica	-	29583	transcriptome	?	-	24185	0	0	0	0	no	0	29/03/2015	05/06/2020			Funaria_Spo_PTA0309.fas	yes					m240lflr								
GALPH	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria phlegrea	-	1389228	genome	?	24112977	7828	0	0	0	0	no	0	21/11/2017	29/05/2020	http://cyanophora.rutgers.edu/gphlegrea/	yes		yes													
GALSU	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria	-	130081	genome	?	23471408	7174	0	0	0	0	no	0	12/01/2009	28/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/285/GCF_000341285.1_ASM34128v1/GCF_000341285.1_ASM34128v1_protein.faa.gz	no		yes													
GALSU002	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria 002			genome			5912	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/Gsu002_1/Gsu002_1.download.html 																
GALSUl1	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria 074W			genome			7174	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/Galsul1/Galsul1.download.html																
GALSU5572	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria 5572			genome			6472	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/Gsu5572_1/Gsu5572_1.download.html 																
GALSUAzora	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria Azora			genome			6305	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/GsuAzora_1/GsuAzora_1.download.html 																
GALSUMS1	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria MS1			genome			7441	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/GsuMS1_1/GsuMS1_1.download.html 																
GALSUMtSh	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria MtSh			genome			6160	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/GsuMtSh_1/GsuMtSh_1.download.html 																
GALSURT22	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria RT22			genome			6982	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/GsuRT22_1/GsuRT22_1.download.html 																
GALSUSAG2192	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria SAG 21.92			genome			5956	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/GsuSAG2192_1/GsuSAG2192_1.download.html 																
GALSUYNP55781	Archaeplastida	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Galdieria sulphuraria YNP5578.1			genome			6118	0	0	0	0			09.11.20		https://genome.jgi.doe.gov/portal/GsuYNP55781_1/GsuYNP55781_1.download.html 																
GARJA	Archaeplastida	eudicots		Gentianales	Rubiaceae	Gardenia jasminoides		114476	genome			16883	0	0	0	0			20/07/2020		https://genomevolution.org/coge/SearchResults.pl?s=Gardenia&p=genome																
GELSE	Archaeplastida	eudicots		Gentianales	Gelsemiaceae	Gelsemium sempervirens		28542	genome			34363	0	0	0	0			20/07/2020		https://datadryad.org/stash/dataset/doi:10.5061/dryad.08vv50n																
GENAU	Archaeplastida	eudicots	asterids	Lamiales	Lentibulariaceae	Genlisea aurea	-	192259	genome	1	-	17680	0	0	0	0	yes	5	16/11/2017	28/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/441/915/GCA_000441915.1_GenAur_1.0/GCA_000441915.1_GenAur_1.0_protein.faa.gz	yes	NCBI	yes													
GINBI	Archaeplastida	Acrogymnospermae	Coniferophyta	Ginkgoales	Ginkgoaceae	Ginkgo biloba	-	3311	genome	1	27871309	41840	0	0	0	0	no	0	16/11/2017	28/05/2020	ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100209/	yes		yes													
GLYMA	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Glycine max	-	3847	genome	Wm82.a2.v1	20075913	56044	171	88	83	0	.#.p KU	32603	27/10/2010	13/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/515/GCF_000004515.4_Glycine_max_v2.0/GCF_000004515.4_Glycine_max_v2.0_protein.faa.gz + https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Gmax	yes	Phytozome V12	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_020455.1	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_007942.1	yes									
GLYSO	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Glycine soja	-	3848	genome			55993	83	0	0	83			22/11/2017	05/06/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/193/775/GCF_004193775.1_ASM419377v2/GCF_004193775.1_ASM419377v2_protein.faa.gz	yes															
GLYUR	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Glycyrrhiza uralensis	-	74613	genome	1	27775193	34445	0	0	0	0	yes	2920	23/11/2017	29/05/2020	http://ngs-data-archive.psc.riken.jp/Gur-genome/download.pl	yes		yes					Two datasets available, chose bigger one								
GNEMO	Archaeplastida	Acrogymnospermae		Gnetales	Gnetaceae	Gnetum montanum		3381	genome	?	29379155	27491	0	0	0	0			19/05/2020		https://datadryad.org/stash/dataset/doi:10.5061/dryad.0vm37	yes		yes													
GONPE	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Gonium pectorale	-	33097	genome			16290	0	0	0	0			11/05/2016	05/06/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/584/585/GCA_001584585.1_ASM158458v1/GCA_001584585.1_ASM158458v1_protein.faa.gz	yes															
GOSAR	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Gossypium arboreum	-	29729	genome	2	24836287	40134	0	0	0	0	no	0	16/11/2017	28/05/2020	ftp://ftp.bioinfo.wsu.edu/species/Gossypium_arboreum/CGP-BGI_G.arboreum_Agenome/genes/G.arboreum_BGI-A2_v1.0_protein.fasta.gz	yes		yes													
GOSBA	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Gossypium barbadense		3634	genome			74561	0	0	0	0			25/05/2020		https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Gbarbadense	yes															
GOSDA	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Gossypium darwinii		34276	genome			78303	0	0	0	0			25/05/2020		https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Gdarwinii	yes															
GOSHE	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Gossypium herbaceum		34274	genome			43952	0	0	0	0			20/07/2020		ftp://ftp.bioinfo.wsu.edu/species/Gossypium_herbaceum/A1_WHU/genes/																
GOSHI	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Gossypium hirsutum		3635	genome			75376	0	0	0	0			25/05/2020		https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Ghirsutum	yes															
GOSMU	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Gossypium mustelinum		34275	genome			74699	0	0	0	0			25/05/2020		https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Gmustelinum	yes															
GOSRA	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Gossypium raimondii	-	29730	genome	2.1000000000000001	22922876 + 23257886	37505	83	0	83	0	yes	39762	26/05/2013	13/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Graimondii	yes	Phytozome V12	yes			http://www.ncbi.nlm.nih.gov/nuccore/NC_016668.1	yes									
GOSTO	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Gossypium tomentosum		34277	genome			78338	0	0	0	0			25/05/2020		https://genome.jgi.doe.gov/portal/pages/dynamicOrganismDownload.jsf?organism=Gtomentosum	yes															
GRACH	Archaeplastida	Rhodophyta		Gracilariales	Gracilariaceae	Gracilariopsis chorda		448386	genome			10805	0	0	0	0			20/07/2020		https://www.ncbi.nlm.nih.gov/assembly/GCA_003194525.1																
GUAAN	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Guadua angustifolia		323898	genome			38575	0	0	0	0			20/07/2020		http://www.genobank.org/bamboo#2																
HANIM	Archaeplastida	eudicots	asterids	Lamiales	Bignoniaceae	Handroanthus impetiginosus		429701	genome			30271	0	0	0	0			07/07/2020		https://www.ncbi.nlm.nih.gov/genome/?term=txid429701[orgn]																
HELAN	Archaeplastida	eudicots	asterids	Asterales	Asteraceae	Helianthus annuus	-	4232	genome	1	28538728	64761	111	26	0	85	yes	8967	16/11/2017	28/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/127/325/GCF_002127325.1_HanXRQr1.0/GCF_002127325.1_HanXRQr1.0_protein.faa.gz	yes	NCBI	yes	mt source is same like protein resource since the mt proteins are included		plastid source is same like protein resourche since the plastid proteins are included										
HELSP	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	-	Helicosporidium sp.	-	1907511	genome	?	24809511	6035	0	0	0	0	no	0	21/11/2017	29/05/2020	http://journals.plos.org/plosgenetics/article/file?type=supplementary&id=info:doi/10.1371/journal.pgen.1004355.s013	yes	Data S13 from supplements	yes													
HEVBR	Archaeplastida	eudicots	rosids	Malpighiales	Euphorbiaceae	Hevea brasiliensis	-	3981	genome	1	-	42519	84	0	0	84	yes	15459	21/11/2017	29/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/654/055/GCF_001654055.1_ASM165405v1/GCF_001654055.1_ASM165405v1_protein.faa.gz	yes	NCBI	yes													
HIBCA	Archaeplastida	eudicots	rosids	Malvales	Malvaceae	Hibiscus cannabinus		229543	genome			65740	0	0	0	0			20/07/2020		https://bigd.big.ac.cn/gwh/Assembly/1033/show																
HORVU	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Hordeum vulgare	-	4513	genome	r1	23075845, 28448065, 28447635	39734	83	0	83	0	yes	208446	26/05/2013	26/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Hvulgare	yes	Phytozome V12	yes			http://www.ncbi.nlm.nih.gov/nuccore/NC_008590.1	yes	high confidence set available called HORVUHC								
HUMLU	Archaeplastida	eudicots	rosids	Rosales	Cannabaceae	Humulus lupulus	-	3486	genome			91258	0	0	0	0			15/11/2017	05/06/2020	http://hopbase.cgrb.oregonstate.edu/downloadMaskedDedupCascade.php	yes															
IPONI	Archaeplastida	eudicots	asterids	Solanales	Convolvulaceae	Ipomoea nil	-	35883	genome	1,1	27824041	41956	117	30	0	87	yes	8981	24/11/2017	29/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/879/475/GCF_001879475.1_Asagao_1.1/GCF_001879475.1_Asagao_1.1_protein.faa.gz	yes	NCBI	yes	mt source is same like protein resource since the mt proteins are included		plastid source is same like protein resourche since the plastid proteins are included										
IOPTR	Archaeplastida	eudicots	asterids	Solanales	Convolvulaceae	Ipomoea trifida	-	35884	genome	1	25805887	109449	0	0	0	0	no	0	16/11/2017	16/11/2017	ftp://ftp.kazusa.or.jp/pub/sweetpotato/0431-1/ITRk_r1.0_pep.fa.gz	yes		yes													
IPOTR	Archaeplastida	eudicots	asterids	Solanales	Convolvulaceae	Ipomoea triloba		35885	genome			35885	85	0	0	85			21/07/2020		https://www.ncbi.nlm.nih.gov/assembly/GCF_003576645.1																
JATCU	Archaeplastida	eudicots	rosids	Malpighiales	Euphorbiaceae	Jatropha curcas	-	180498	genome		DOI: 10.1007/s11295-010-0303-0	25136	84	0	0	84			29/03/2015	08/03/2017	http://jcdb.xtbg.ac.cn/index.php?m=Download&a=download	yes															
JUGCA	Archaeplastida	eudicots	rosids	Fagales	Juglandaceae	Juglans cathayensis		91213	genome			34148	0	0	0	0			20/07/2020		https://hardwoodgenomics.org/sites/default/files/sequences/juglans_cathayensis/raw_data/Juct.1_0.peptides.fa																
JUGHI	Archaeplastida	eudicots	rosids	Fagales	Juglandaceae	Juglans hindsii		91216	genome			28716	0	0	0	0			20/07/2020		https://hardwoodgenomics.org/Genome-assembly/2209433?tripal_pane=group_downloads																
JUGNI	Archaeplastida	eudicots	rosids	Fagales	Juglandaceae	Juglans nigra		16719	genome			28335	0	0	0	0			20/07/2020		https://hardwoodgenomics.org/Genome-assembly/2209433?tripal_pane=group_downloads																
JUGRE	Archaeplastida	eudicots	rosids	Fagales	Juglandaceae	Juglans regia	-	51240	genome			41081	0	0	0	0			14/11/2017	05/06/2020	https://www.hardwoodgenomics.org/Genome-assembly/2539069?tripal_pane=group_downloads	yes															
JUGSI	Archaeplastida	eudicots	rosids	Fagales	Juglandaceae	Juglans sigillata		224355	genome			28814	0	0	0	0			20/07/2020		https://hardwoodgenomics.org/Genome-assembly/2209433?tripal_pane=group_downloads																
KALFE	Archaeplastida	eudicots	stem rosids	Saxifragales	Crassulaceae	Kalanchoe fedtschenkoi	-	63787	genome	1.1000000000000001	29196618	30964	0	0	0	0	yes	14226	17/11/2017	29/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Kfedtschenkoi	yes	Phytozome V12	yes													
KANOB	Archaeplastida	eudicots	rosids	Malpighiales	Rhizophoraceae	Kandelia obovata		413952	genome			19138	0	0	0	0			20/07/2020		https://bigd.big.ac.cn/gwh/Assembly/990/show																
KLEFL	Archaeplastida	Streptophyta KCM grade	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium nitens	Klebsormidium flaccidum (old name)	3175	genome			17207	0	0	0	0			26/05/2013		ftp://ftp.ncbi.nlm.nih.gov/genomes/all//GCA/000/708/835/GCA_000708835.1_ASM70883v1/GCA_000708835.1_ASM70883v1_protein.faa.gz + http://www.plantmorphogenesis.bio.titech.ac.jp/~algae_genome_project/klebsormidium/kf_download.htm	yes															
LABPU	Archaeplastida	eudicots	rosids	Fabales	Fabaceae	Lablab purpureus		35936	genome	?	30535374	20946	0	0	0	0			18/05/2020		https://bioinformatics.psb.ugent.be/orcae/aocc/	yes		yes													
LACSA	Archaeplastida	eudicots	asterids	Asterales	Asteraceae	Lactuca sativa	-	4236	genome	5	28401891	38910	0	0	0	0	yes	23746	17/11/2017	29/05/2020	https://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Lsativa	yes	Phytozome V12	yes													
LAGSI	Archaeplastida	eudicots	rosids	Cucurbitales	Cucurbitaceae	Lagenaria siceraria	-	3668	genome	1	28940759	22472	0	0	0	0	no	0	24/11/2017	29/05/2020	ftp://cucurbitgenomics.org/pub/cucurbit/genome/Lagenaria_siceraria/	yes		yes													
LEAAL	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Leavenworthia alabamica	-	310722	genome	?	23817568	30343	0	0	0	0	no	0	29/03/2015	13/05/2020	http://mustang.biol.mcgill.ca:8885/download/L.alabamica/	yes		yes													
LEEPE	Archaeplastida	Liliopsida	commelinids	Poales	Poaceae	Leersia perrieri		77586	genome			29129	0	0	0	0			24/07/2020		https://datacommons.cyverse.org/browse/iplant/home/shared/commons_repo/curated/IOMAP_Genomes_Data_2017/MAKER_genome_annotations																
LEMMI	Archaeplastida	Liliopsida	-	Alismatales	Araceae	Lemna minor	-	4472	genome	1	26609323	22379	0	0	0	0	no	0	22/11/2017	29/05/2020	https://genomevolution.org/coge/GenomeInfo.pl?gid=27408	yes	CoGe	yes					proteins obtained from CoGe gff								
LEPME	Archaeplastida	eudicots	rosids	Brassicales	Brassicaceae	Lepidium meyenii	-	153348	genome	?	27174404	96417	0	0	0	0	no	0	01/12/2017	12/06/2020	http://maca.eplant.org/download.html	yes		yes													
